idx,umls_cui,se_name
894,C0020555,Hypertrichosis
895,C0427086,Dyskinesia
896,C0085681,Hyperphosphataemia
897,C0020523,Type I hypersensitivity
898,C0701811,Amnesia
899,C0595883,Blood glucose decreased
900,C0010038,Corneal opacity
901,C0600228,Cardio-respiratory arrest
902,C0085615,Bundle branch block right
903,C0553732,Prothrombin level decreased
904,C0549356,Injury
905,C0037195,Sinus headache
906,C0151765,Hepatic steatosis
907,C0022893,Labyrinthitis
908,C0518988,Tooth abscess
909,C0521491,Application site pain
910,C0022602,Actinic keratosis
911,C0234930,Skin odour abnormal
912,C0520888,Electrocardiogram T wave inversion
913,C0520887,Electrocardiogram ST segment depression
914,C0085684,Peroneal nerve palsy
915,C0034642,Rales
916,C0235876,Depression
917,C0034886,Proctalgia
918,C0031099,Periodontitis
919,C0151686,Growth retardation
920,C0151664,Gastrointestinal perforation
921,C0235750,Hypertension
922,C0151713,Gastric pH decreased
923,C0008035,Musculoskeletal chest pain
924,C0043049,Water intoxication
925,C0008372,Cholestasis
926,C0029118,Opportunistic infection
927,C0151826,Chest pain
928,C0009241,Cognitive disorder
929,C0029124,Optic atrophy
930,C0042790,Visual impairment
931,C0029445,Osteonecrosis
932,C0232431,Cold sweat
933,C0007286,Carpal tunnel syndrome
934,C0743680,Eye oedema
935,C0853149,Blood lactate dehydrogenase increased
936,C0024299,Lymphoma
937,C0227791,Vaginal discharge
938,C0233523,Antisocial behaviour
939,C0233571,Agitation
940,C0037384,Snoring
941,C0029927,Ovarian cyst
942,C0037287,Skin mass
943,C0856054,Mental status changes
944,C0042487,Venous thrombosis
945,C0038160,Staphylococcal infection
946,C0877322,Muscle tightness
947,C0160390,Traumatic liver injury
948,C0151942,Arterial thrombosis
949,C0162287,Abnormal faeces
950,C0007117,Basal cell carcinoma
951,C0857496,Embolism
952,C0857093,Hepatic enzyme increased
953,C0042133,Uterine leiomyoma
954,C0920289,Sluggishness
955,C0948294,Eyelid margin crusting
956,C0038525,Subarachnoid haemorrhage
957,C0002965,Angina pectoris
958,C0040584,Tracheitis
959,C0001883,Obstructive airways disorder
960,C0040409,Tongue disorder
961,C0040147,Thyroiditis
962,C0271412,Ear haemorrhage
963,C0264893,Nodal arrhythmia
964,C0017566,Gingival hyperplasia
965,C2239176,Hepatocellular carcinoma
966,C2242621,Erection increased
967,C0260662,Hearing impaired
968,C0262662,Ventricular extrasystoles
969,C0282193,Iron overload
970,C0332563,Papule
971,C0338591,Transient global amnesia
972,C0242339,Dyslipidaemia
973,C0242528,Azotaemia
974,C0241442,Protrusion tongue
975,C0347390,Skin papilloma
976,C0019061,Haemolytic uraemic syndrome
977,C0019147,Coma hepatic
978,C0240327,Dysgeusia
979,C0240717,Perineal pain
980,C0392197,Feeling hot
981,C0393760,Initial insomnia
982,C1760428,Suicidal behaviour
983,C0042376,Vascular headache
984,C0039591,Testicular pain
985,C0015644,Muscle contractions involuntary
986,C0239340,Oedema peripheral
987,C0015734,Faecalith
988,C0237938,Gastrointestinal ulcer
989,C0239134,Productive cough
990,C0424230,Psychomotor retardation
991,C0424296,Disinhibition
992,C0014863,Oesophageal spasm
993,C0015256,Excoriation
