idx,umls_cui,se_name
216,C0013362,Dysarthria
217,C0547030,Visual impairment
218,C0002878,Haemolytic anaemia
219,C0013390,Dysmenorrhoea
220,C0085632,Flat affect
221,C0011849,Diabetes mellitus
222,C0014868,Oesophagitis
223,C0031542,Phlebitis
224,C0000731,Abdominal distension
225,C0040046,Thrombophlebitis
226,C0017675,Glossitis
227,C0020443,Hypercholesterolaemia
228,C0042384,Vasculitis
229,C0851578,Sleep disorder
230,C0020598,Hypocalcaemia
231,C0424295,Hyperkinesia
232,C0019521,Hiccups
233,C0020433,Hyperbilirubinaemia
234,C0002453,Amenorrhoea
235,C0023518,Leukocytosis
236,C0028738,Nystagmus
237,C0151907,Skin discolouration
238,C0702166,Acne
239,C0086543,Cataract
240,C0009938,Contusion
241,C0006145,Breast disorder
242,C0026858,Musculoskeletal pain
243,C0040053,Thrombosis
244,C0022408,Arthropathy
245,C0020676,Hypothyroidism
246,C0011053,Deafness
247,C0085628,Stupor
248,C0038663,Suicide attempt
249,C0020453,Hyperaesthesia
250,C0039240,Supraventricular tachycardia
251,C0011253,Delusion
252,C0027066,Myoclonus
253,C0042514,Ventricular tachycardia
254,C0151735,Injection site reaction
255,C0442874,Neuropathy peripheral
256,C0086565,Hepatic function abnormal
257,C0497247,Blood pressure increased
258,C0149745,Mouth ulceration
259,C0020039,Hostility
260,C0025323,Menorrhagia
261,C0392171,Influenza like illness
262,C0033860,Psoriasis
263,C0042769,Viral infection
264,C0151662,Gamma-glutamyltransferase increased
265,C0001925,Albuminuria
266,C0036454,Scotoma
267,C0574067,Cough
268,C0008325,Cholecystitis
269,C1260880,Nasopharyngitis
270,C0024902,Breast pain
271,C0007859,Neck pain
272,C0037299,Skin ulcer
273,C0017601,Glaucoma
274,C0020473,Hyperlipidaemia
275,C0026961,Mydriasis
276,C0011551,Depersonalisation
277,C0027707,Tubulointerstitial nephritis
278,C0004245,Atrioventricular block
279,C0017168,Gastrooesophageal reflux disease
280,C0018926,Haematemesis
281,C0019079,Haemoptysis
282,C0858635,Laryngeal pain
283,C0005741,Blepharitis
284,C0007642,Cellulitis
285,C0037822,Speech disorder
286,C0235996,Hepatic enzyme increased
287,C0392156,Akathisia
288,C0031256,Petechiae
289,C0030232,Pallor
290,C0235710,Chest pain
291,C0009421,Coma
292,C0424000,Suicidal ideation
293,C0086439,Hypokinesia
294,C0027796,Neuralgia
295,C0024312,Lymphopenia
296,C1510410,Parosmia
297,C0042401,Vasodilation procedure
298,C0740394,Blood uric acid increased
299,C0041657,Loss of consciousness
300,C0235266,Eye irritation
301,C0151798,Hepatic necrosis
302,C0085612,Ventricular arrhythmia
303,C0011616,Dermatitis contact
304,C0085606,Pollakiuria
305,C2364111,Ageusia
306,C0043144,Wheezing
307,C0027849,Neuroleptic malignant syndrome
308,C0021177,Disturbance in sexual arousal
309,C0151828,Injection site pain
310,C0016658,Multiple fractures
311,C0026848,Myopathy
312,C1258215,Ileus
313,C0338831,Mania
314,C0234215,Discomfort
315,C0151723,Hypomagnesaemia
316,C0017979,Glycosuria
317,C0038358,Gastric ulcer
318,C0037274,Skin disorder
319,C0022650,Nephrolithiasis
320,C0235660,Galactorrhoea
321,C0206062,Interstitial lung disease
322,C0017574,Gingivitis
323,C0020578,Hyperventilation
324,C0033687,Protein urine present
325,C0152198,Accommodation disorder
326,C0020437,Hypercalcaemia
327,C0151602,Swelling face
328,C0029882,Otitis media
329,C0021843,Intestinal obstruction
330,C0151772,Mania
331,C0233794,Memory impairment
332,C0003578,Apnoea
333,C1291077,Abdominal distension
334,C1384666,Hearing impaired
335,C0029456,Osteoporosis
336,C0151610,Tongue disorder
337,C0008350,Cholelithiasis
338,C0235431,Blood creatinine increased
339,C0162834,Skin hyperpigmentation
